source,destination,cost,time(in hrs)
4,83,150,2.5
4,84,150,2.5
4,85,90,1.5
4,86,60,1
4,87,210,3.5
4,88,180,3
4,89,60,1
4,90,90,1.5
4,91,90,1.5
4,92,90,1.5
4,93,90,1.5
4,94,60,1
4,95,210,3.5
4,96,90,1.5
4,97,60,1
4,98,120,2
4,99,150,2.5
4,100,60,1
4,101,30,0.5
4,102,150,2.5
4,103,90,1.5
4,104,90,1.5
4,105,150,2.5
4,106,150,2.5
4,107,120,2
4,108,120,2
4,109,30,0.5
4,110,0,0
4,111,150,2.5
4,112,150,2.5
4,113,30,0.5
4,114,30,0.5
4,115,30,0.5
4,116,150,2.5
4,117,150,2.5
4,118,150,2.5
4,119,120,2
4,120,150,2.5
4,121,120,2
4,122,120,2
4,123,150,2.5
4,124,120,2
4,125,120,2
4,126,180,3
4,127,240,4
5,6,330,5.5
5,7,240,4
5,8,300,5
5,9,330,5.5
5,10,330,5.5
5,11,300,5
5,12,240,4
5,13,390,6.5
5,14,390,6.5
5,15,390,6.5
5,16,390,6.5
5,17,390,6.5
5,18,360,6
5,19,210,3.5
5,20,210,3.5
5,21,390,6.5
5,22,210,3.5
5,23,210,3.5
5,24,210,3.5
5,25,210,3.5
5,26,210,3.5
5,27,210,3.5
5,28,150,2.5
5,29,450,7.5
5,30,240,4
5,31,330,5.5
5,32,270,4.5
5,33,330,5.5
5,34,180,3
5,35,360,6
5,36,210,3.5
5,37,180,3
5,38,180,3
5,39,270,4.5
5,40,300,5
5,41,360,6
5,42,360,6
5,43,450,7.5
5,44,420,7
5,45,60,1
5,46,360,6
5,47,360,6
5,48,360,6
5,49,360,6
5,50,330,5.5
5,51,390,6.5
5,52,360,6
5,53,360,6
5,54,180,3
5,55,420,7
5,56,360,6
5,57,420,7
5,58,420,7
5,59,90,1.5
5,60,120,2
5,61,90,1.5
5,62,360,6
5,63,300,5
5,64,390,6.5
5,65,330,5.5
5,66,300,5
5,67,270,4.5
5,68,330,5.5
5,69,330,5.5
5,70,330,5.5
5,71,210,3.5
5,72,330,5.5
5,73,330,5.5
5,74,330,5.5
5,75,180,3
5,76,390,6.5
5,77,150,2.5
5,78,270,4.5
5,79,240,4
5,80,450,7.5
5,81,420,7
5,82,300,5
5,83,210,3.5
5,84,210,3.5
5,85,360,6
5,86,270,4.5
5,87,150,2.5
5,88,180,3
5,89,300,5
5,90,300,5
5,91,300,5
5,92,300,5
5,93,270,4.5
5,94,300,5
5,95,150,2.5
5,96,300,5
5,97,330,5.5
5,98,300,5
5,99,210,3.5
5,100,360,6
5,101,360,6
5,102,240,4
5,103,450,7.5
5,104,420,7
5,105,270,4.5
5,106,270,4.5
5,107,240,4
5,108,300,5
5,109,420,7
5,110,360,6
5,111,390,6.5
5,112,300,5
5,113,360,6
5,114,360,6
5,115,360,6
5,116,480,8
5,117,480,8
5,118,210,3.5
5,119,240,4
5,120,240,4
5,121,450,7.5
5,122,450,7.5
5,123,450,7.5
5,124,450,7.5
5,125,300,5
5,126,240,4
5,127,120,2
6,6,150,2.5
6,7,90,1.5
6,8,120,2
6,9,150,2.5
6,10,150,2.5
6,11,60,1
6,12,0,0
6,13,180,3
6,14,180,3
6,15,180,3
6,16,180,3
6,17,180,3
6,18,150,2.5
6,19,120,2
6,20,120,2
6,21,150,2.5
6,22,90,1.5
6,23,90,1.5
6,24,90,1.5
6,25,90,1.5
6,26,90,1.5
6,27,90,1.5
6,28,60,1
6,29,270,4.5
6,30,60,1
6,31,90,1.5
6,32,60,1
6,33,150,2.5
6,34,60,1
6,35,120,2
6,36,30,0.5
6,37,60,1
6,38,60,1
6,39,120,2
6,40,30,0.5
6,41,120,2
6,42,120,2
6,43,180,3
6,44,180,3
6,45,330,5.5
6,46,120,2
6,47,120,2
6,48,120,2
6,49,120,2
6,50,90,1.5
6,51,150,2.5
6,52,120,2
6,53,120,2
6,54,60,1
6,55,180,3
6,56,180,3
6,57,180,3
6,58,180,3
6,59,120,2
6,60,120,2
6,61,120,2
6,62,150,2.5
6,63,150,2.5
6,64,240,4
6,65,120,2
6,66,60,1
6,67,30,0.5
6,68,150,2.5
6,69,150,2.5
6,70,150,2.5
6,71,0,0
6,72,90,1.5
6,73,150,2.5
6,74,150,2.5
6,75,30,0.5
6,76,150,2.5
6,77,60,1
6,78,120,2
6,79,120,2
6,80,270,4.5
6,81,210,3.5
6,82,120,2
6,83,60,1
6,84,90,1.5
6,85,120,2
6,86,60,1
6,87,60,1
6,88,60,1
6,89,60,1
6,90,60,1
6,91,60,1
6,92,30,0.5
6,93,90,1.5
6,94,90,1.5
6,95,60,1
6,96,60,1
6,97,150,2.5
6,98,150,2.5
6,99,0,0
6,100,180,3
6,101,120,2
6,102,0,0
6,103,180,3
6,104,180,3
6,105,60,1
6,106,60,1
6,107,120,2
6,108,150,2.5
6,109,180,3
6,110,120,2
6,111,150,2.5
6,112,180,3
6,113,120,2
6,114,120,2
6,115,120,2
6,116,240,4
6,117,240,4
6,118,0,0
6,119,0,0
6,120,0,0
6,121,210,3.5
6,122,210,3.5
6,123,210,3.5
6,124,210,3.5
6,125,150,2.5
6,126,30,0.5
6,127,120,2
7,7,60,1
7,8,0,0
7,9,0,0
7,10,0,0
7,11,90,1.5
7,12,120,2
7,13,60,1
7,14,30,0.5
7,15,60,1
7,16,60,1
7,17,60,1
7,18,30,0.5
7,19,90,1.5
7,20,120,2
7,21,210,3.5
7,22,90,1.5
7,23,90,1.5
7,24,90,1.5
7,25,90,1.5
7,26,90,1.5
7,27,90,1.5
7,28,180,3
7,29,120,2
7,30,60,1
7,31,150,2.5
7,32,90,1.5
7,33,0,0
7,34,150,2.5
7,35,120,2
7,36,180,3
7,37,150,2.5
7,38,180,3
7,39,60,1
7,40,150,2.5
7,41,210,3.5
7,42,90,1.5
7,43,150,2.5
7,44,120,2
7,45,420,7
7,46,90,1.5
7,47,90,1.5
7,48,90,1.5
7,49,90,1.5
7,50,90,1.5
7,51,120,2
7,52,120,2
7,53,90,1.5
7,54,180,3
7,55,120,2
7,56,30,0.5
7,57,120,2
7,58,120,2
7,59,210,3.5
7,60,210,3.5
7,61,240,4
7,62,30,0.5
7,63,30,0.5
7,64,90,1.5
7,65,0,0
7,66,120,2
7,67,90,1.5
7,68,0,0
7,69,0,0
7,70,0,0
7,71,150,2.5
7,72,180,3
7,73,0,0
7,74,0,0
7,75,180,3
7,76,210,3.5
7,77,180,3
7,78,60,1
7,79,60,1
7,80,120,2
7,81,60,1
7,82,0,0
7,83,90,1.5
7,84,90,1.5
7,85,150,2.5
7,86,60,1
7,87,180,3
7,88,180,3
7,89,90,1.5
7,90,90,1.5
7,91,90,1.5
7,92,120,2
7,93,30,0.5
7,94,30,0.5
7,95,180,3
7,96,90,1.5
7,97,0,0
7,98,30,0.5
7,99,150,2.5
7,100,30,0.5
7,101,90,1.5
7,102,150,2.5
7,103,180,3
7,104,150,2.5
7,105,180,3
7,106,180,3
7,107,60,1
7,108,30,0.5
7,109,120,2
7,110,60,1
7,111,210,3.5
7,112,60,1
7,113,90,1.5
7,114,90,1.5
7,115,90,1.5
7,116,210,3.5
7,117,210,3.5
7,118,150,2.5
7,119,120,2
7,120,150,2.5
7,121,210,3.5
7,122,210,3.5
7,123,210,3.5
7,124,210,3.5
7,125,30,0.5
7,126,180,3
7,127,210,3.5
8,9,60,1
8,10,90,1.5
8,11,90,1.5
8,12,60,1
8,13,150,2.5
8,14,120,2
8,15,150,2.5
8,16,150,2.5
8,17,150,2.5
8,18,120,2
8,19,30,0.5
8,20,30,0.5
8,21,210,3.5
8,22,30,0.5
8,23,0,0
8,24,0,0
8,25,30,0.5
8,26,0,0
8,27,0,0
8,28,90,1.5
8,29,210,3.5
8,30,0,0
8,31,150,2.5
8,32,60,1
8,33,90,1.5
8,34,60,1
8,35,150,2.5
8,36,120,2
8,37,60,1
8,38,120,2
8,39,30,0.5
8,40,120,2
8,41,180,3
8,42,120,2
8,43,210,3.5
8,44,180,3
8,45,330,5.5
8,46,120,2
8,47,120,2
8,48,120,2
8,49,120,2
8,50,120,2
8,51,150,2.5
8,52,120,2
8,53,120,2
8,54,90,1.5
8,55,180,3
8,56,120,2
8,57,180,3
8,58,180,3
8,59,120,2
8,60,120,2
8,61,150,2.5
8,62,120,2
8,63,60,1
8,64,150,2.5
8,65,60,1
8,66,90,1.5
8,67,60,1
8,68,60,1
8,69,60,1
8,70,90,1.5
8,71,90,1.5
8,72,180,3
8,73,60,1
8,74,60,1
8,75,120,2
8,76,210,3.5
8,77,120,2
8,78,30,0.5
8,79,30,0.5
8,80,210,3.5
8,81,150,2.5
8,82,60,1
8,83,30,0.5
8,84,0,0
8,85,150,2.5
8,86,30,0.5
8,87,90,1.5
8,88,90,1.5
8,89,60,1
8,90,90,1.5
8,91,60,1
8,92,120,2
8,93,30,0.5
8,94,60,1
8,95,90,1.5
8,96,90,1.5
8,97,90,1.5
8,98,60,1
8,99,60,1
8,100,120,2
8,101,120,2
8,102,60,1
8,103,210,3.5
8,104,180,3
8,105,150,2.5
8,106,150,2.5
8,107,30,0.5
8,108,60,1
8,109,180,3
8,110,120,2
8,111,210,3.5
8,112,90,1.5
8,113,120,2
8,114,120,2
8,115,120,2
8,116,270,4.5
8,117,270,4.5
8,118,90,1.5
8,119,90,1.5
8,120,90,1.5
8,121,240,4
8,122,240,4
8,123,240,4
8,124,240,4
8,125,60,1
8,126,120,2
8,127,120,2
9,10,30,0.5
9,11,90,1.5
9,12,90,1.5
9,13,90,1.5
9,14,60,1
9,15,60,1
9,16,60,1
9,17,90,1.5
9,18,60,1
9,19,90,1.5
9,20,90,1.5
9,21,210,3.5
9,22,60,1
9,23,60,1
9,24,60,1
9,25,60,1
9,26,60,1
9,27,60,1
9,28,150,2.5
9,29,150,2.5
9,30,30,0.5
9,31,150,2.5
9,32,60,1
9,33,0,0
9,34,120,2
9,35,120,2
9,36,180,3
9,37,120,2
9,38,180,3
9,39,30,0.5
9,40,120,2
9,41,210,3.5
9,42,120,2
9,43,150,2.5
9,44,150,2.5
9,45,390,6.5
9,46,120,2
9,47,120,2
9,48,120,2
9,49,120,2
9,50,90,1.5
9,51,120,2
9,52,120,2
9,53,120,2
9,54,150,2.5
9,55,150,2.5
9,56,60,1
9,57,120,2
9,58,150,2.5
9,59,180,3
9,60,180,3
9,61,210,3.5
9,62,60,1
9,63,30,0.5
9,64,90,1.5
9,65,0,0
9,66,90,1.5
9,67,90,1.5
9,68,0,0
9,69,0,0
9,70,30,0.5
9,71,120,2
9,72,180,3
9,73,0,0
9,74,0,0
9,75,180,3
9,76,210,3.5
9,77,180,3
9,78,30,0.5
9,79,30,0.5
9,80,150,2.5
9,81,90,1.5
9,82,0,0
9,83,90,1.5
9,84,60,1
9,85,150,2.5
9,86,60,1
9,87,150,2.5
9,88,150,2.5
9,89,90,1.5
9,90,90,1.5
9,91,90,1.5
9,92,120,2
9,93,30,0.5
9,94,30,0.5
9,95,150,2.5
9,96,90,1.5
9,97,30,0.5
9,98,30,0.5
9,99,120,2
9,100,60,1
9,101,90,1.5
9,102,120,2
9,103,180,3
9,104,180,3
9,105,180,3
9,106,180,3
9,107,30,0.5
9,108,30,0.5
9,109,150,2.5
9,110,60,1
9,111,210,3.5
9,112,60,1
9,113,120,2
9,114,120,2
9,115,120,2
9,116,240,4
9,117,240,4
9,118,120,2
9,119,120,2
9,120,120,2
9,121,210,3.5
9,122,240,4
9,123,240,4
9,124,210,3.5
9,125,30,0.5
9,126,150,2.5
9,127,210,3.5
10,11,120,2
10,12,120,2
10,13,60,1
10,14,60,1
10,15,60,1
10,16,60,1
10,17,60,1
10,18,60,1
10,19,90,1.5
10,20,120,2
10,21,240,4
10,22,90,1.5
10,23,90,1.5
10,24,90,1.5
10,25,90,1.5
10,26,90,1.5
10,27,90,1.5
10,28,180,3
10,29,120,2
10,30,60,1
10,31,180,3
10,32,90,1.5
10,33,0,0
10,34,150,2.5
10,35,150,2.5
10,36,210,3.5
10,37,150,2.5
10,38,210,3.5
10,39,60,1
10,40,150,2.5
10,41,210,3.5
10,42,120,2
10,43,150,2.5
10,44,150,2.5
10,45,420,7
10,46,120,2
10,47,120,2
10,48,120,2
10,49,120,2
10,50,120,2
10,51,120,2
10,52,120,2
10,53,120,2
10,54,180,3
10,55,150,2.5
10,56,60,1
10,57,120,2
10,58,150,2.5
10,59,210,3.5
10,60,210,3.5
10,61,240,4
10,62,60,1
10,63,0,0
10,64,60,1
10,65,30,0.5
10,66,120,2
10,67,120,2
10,68,0,0
10,69,0,0
10,70,0,0
10,71,150,2.5
10,72,210,3.5
10,73,0,0
10,74,0,0
10,75,180,3
10,76,240,4
10,77,180,3
10,78,60,1
10,79,60,1
10,80,120,2
10,81,90,1.5
10,82,0,0
10,83,120,2
10,84,90,1.5
10,85,180,3
10,86,90,1.5
10,87,180,3
10,88,180,3
10,89,120,2
10,90,120,2
10,91,120,2
10,92,150,2.5
10,93,60,1
10,94,60,1
10,95,180,3
10,96,120,2
10,97,30,0.5
10,98,0,0
10,99,150,2.5
10,100,30,0.5
10,101,120,2
10,102,150,2.5
10,103,210,3.5
10,104,180,3
10,105,180,3
10,106,210,3.5
10,107,60,1
10,108,0,0
10,109,150,2.5
10,110,90,1.5
10,111,240,4
10,112,60,1
10,113,120,2
10,114,120,2
10,115,120,2
10,116,240,4
10,117,240,4
10,118,150,2.5
10,119,150,2.5
10,120,150,2.5
10,121,240,4
10,122,240,4
10,123,240,4
10,124,240,4
10,125,30,0.5
10,126,180,3
10,127,210,3.5
11,12,150,2.5
11,13,60,1
11,14,60,1
11,15,60,1
11,16,60,1
11,17,60,1
11,18,60,1
11,19,90,1.5
11,20,120,2
11,21,240,4
11,22,90,1.5
11,23,90,1.5
11,24,90,1.5
11,25,90,1.5
11,26,90,1.5
11,27,90,1.5
11,28,180,3
11,29,120,2
11,30,90,1.5
11,31,180,3
11,32,90,1.5
11,33,0,0
11,34,150,2.5
11,35,150,2.5
11,36,210,3.5
11,37,150,2.5
11,38,210,3.5
11,39,60,1
11,40,180,3
11,41,240,4
11,42,120,2
11,43,180,3
11,44,150,2.5
11,45,420,7
11,46,120,2
11,47,120,2
11,48,120,2
11,49,120,2
11,50,120,2
11,51,150,2.5
11,52,120,2
11,53,120,2
11,54,180,3
11,55,150,2.5
11,56,60,1
11,57,150,2.5
11,58,150,2.5
11,59,210,3.5
11,60,210,3.5
11,61,240,4
11,62,60,1
11,63,0,0
11,64,60,1
11,65,30,0.5
11,66,150,2.5
11,67,120,2
11,68,0,0
11,69,0,0
11,70,30,0.5
11,71,180,3
11,72,210,3.5
11,73,30,0.5
11,74,0,0
11,75,210,3.5
11,76,240,4
11,77,210,3.5
11,78,60,1
11,79,60,1
11,80,120,2
11,81,90,1.5
11,82,30,0.5
11,83,120,2
11,84,90,1.5
11,85,180,3
11,86,90,1.5
11,87,180,3
11,88,180,3
11,89,120,2
11,90,120,2
11,91,120,2
11,92,150,2.5
11,93,60,1
11,94,60,1
11,95,180,3
11,96,120,2
11,97,30,0.5
11,98,0,0
11,99,150,2.5
11,100,30,0.5
11,101,120,2
11,102,150,2.5
11,103,210,3.5
11,104,180,3
11,105,210,3.5
11,106,210,3.5
11,107,60,1
11,108,0,0
11,109,150,2.5
11,110,90,1.5
11,111,240,4
11,112,30,0.5
11,113,120,2
11,114,120,2
11,115,120,2
11,116,240,4
11,117,240,4
11,118,180,3
11,119,150,2.5
11,120,150,2.5
11,121,240,4
11,122,240,4
11,123,240,4
11,124,240,4
11,125,30,0.5
11,126,210,3.5
11,127,240,4
12,13,120,2
12,14,120,2
12,15,120,2
12,16,120,2
12,17,120,2
12,18,90,1.5
12,19,120,2
12,20,120,2
12,21,120,2
12,22,120,2
12,23,90,1.5
12,24,90,1.5
12,25,120,2
12,26,90,1.5
12,27,90,1.5
12,28,120,2
12,29,210,3.5
12,30,60,1
12,31,60,1
12,32,0,0
12,33,90,1.5
12,34,90,1.5
12,35,60,1
12,36,90,1.5
12,37,90,1.5
12,38,120,2
12,39,90,1.5
12,40,30,0.5
12,41,90,1.5
12,42,60,1
12,43,120,2
12,44,120,2
12,45,390,6.5
12,46,60,1
12,47,60,1
12,48,60,1
12,49,60,1
12,50,30,0.5
12,51,90,1.5
12,52,60,1
12,53,60,1
12,54,120,2
12,55,120,2
12,56,120,2
12,57,120,2
12,58,120,2
12,59,180,3
12,60,180,3
12,61,180,3
12,62,90,1.5
12,63,120,2
12,64,180,3
12,65,90,1.5
12,66,0,0
12,67,0,0
12,68,90,1.5
12,69,90,1.5
12,70,120,2
12,71,60,1
12,72,60,1
12,73,90,1.5
12,74,120,2
12,75,120,2
12,76,120,2
12,77,120,2
12,78,90,1.5
12,79,90,1.5
12,80,210,3.5
12,81,150,2.5
12,82,90,1.5
12,83,90,1.5
12,84,90,1.5
12,85,60,1
12,86,30,0.5
12,87,120,2
12,88,120,2
12,89,0,0
12,90,0,0
12,91,0,0
12,92,30,0.5
12,93,60,1
12,94,60,1
12,95,120,2
12,96,0,0
12,97,90,1.5
12,98,120,2
12,99,60,1
12,100,120,2
12,101,30,0.5
12,102,60,1
12,103,150,2.5
12,104,120,2
12,105,60,1
12,106,60,1
12,107,90,1.5
12,108,120,2
12,109,120,2
12,110,60,1
12,111,120,2
12,112,180,3
12,113,60,1
12,114,60,1
12,115,60,1
12,116,180,3
12,117,180,3
12,118,60,1
12,119,30,0.5
12,120,60,1
12,121,150,2.5
12,122,150,2.5
12,123,150,2.5
12,124,150,2.5
12,125,120,2
12,126,90,1.5
12,127,180,3
13,14,150,2.5
13,15,150,2.5
13,16,150,2.5
13,17,150,2.5
13,18,120,2
13,19,120,2
13,20,120,2
13,21,150,2.5
13,22,90,1.5
13,23,60,1
13,24,90,1.5
13,25,90,1.5
13,26,60,1
13,27,90,1.5
13,28,90,1.5
13,29,240,4
13,30,60,1
13,31,90,1.5
13,32,30,0.5
13,33,120,2
13,34,60,1
13,35,120,2
13,36,60,1
13,37,60,1
13,38,60,1
13,39,90,1.5
13,40,30,0.5
13,41,120,2
13,42,90,1.5
13,43,180,3
13,44,150,2.5
13,45,330,5.5
13,46,90,1.5
13,47,90,1.5
13,48,90,1.5
13,49,90,1.5
13,50,90,1.5
13,51,150,2.5
13,52,90,1.5
13,53,90,1.5
13,54,60,1
13,55,150,2.5
13,56,150,2.5
13,57,150,2.5
13,58,150,2.5
13,59,150,2.5
13,60,150,2.5
13,61,150,2.5
13,62,120,2
13,63,120,2
13,64,210,3.5
13,65,120,2
13,66,30,0.5
13,67,0,0
13,68,120,2
13,69,120,2
13,70,120,2
13,71,30,0.5
13,72,90,1.5
13,73,120,2
13,74,120,2
13,75,60,1
13,76,150,2.5
13,77,90,1.5
13,78,90,1.5
13,79,90,1.5
13,80,240,4
13,81,180,3
13,82,90,1.5
13,83,60,1
13,84,60,1
13,85,90,1.5
13,86,30,0.5
13,87,90,1.5
13,88,60,1
13,89,30,0.5
13,90,30,0.5
13,91,30,0.5
13,92,30,0.5
13,93,60,1
13,94,60,1
13,95,90,1.5
13,96,30,0.5
13,97,120,2
13,98,120,2
13,99,30,0.5
13,100,150,2.5
13,101,90,1.5
13,102,0,0
13,103,180,3
13,104,150,2.5
13,105,60,1
13,106,60,1
13,107,90,1.5
13,108,150,2.5
13,109,150,2.5
13,110,120,2
13,111,150,2.5
13,112,180,3
13,113,90,1.5
13,114,90,1.5
13,115,90,1.5
13,116,240,4
13,117,240,4
13,118,30,0.5
13,119,0,0
13,120,0,0
13,121,180,3
13,122,210,3.5
13,123,210,3.5
13,124,180,3
